RECORD,MARKET_NAME,SUBMARKET_NAME,COUNTY,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,YEAR,MONTH,YEAR_MONTH,RENT_PER_SQFT_ACTUAL
1484,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Hollywood Terrace,,6550 Yucca Street,Los Angeles,CA,90028,34.103115,-118.33278,3234695782,100,100000,0.89,B-,B-,96.9,2041,2017,May,2017 May,2.05
1485,Los Angeles - Metro,Catalina Island,Los Angeles,Tremont Street,,343 Tremont Street,Avalon,CA,90704,33.341637,-118.330921,3105101566,62,58962,1.66,B-,A+,NA,1941,2017,May,2017 May,1.92
1486,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Rodeo,,6619 Leland Way,Los Angeles,CA,90028,34.0971837,-118.334098,4242576663,93,83600,0.864,C+,C+,86,2044,2017,May,2017 May,2.06
1487,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Regency Manor,,7205 Hollywood Blvd,Los Angeles,CA,90046,34.1017837,-118.3469957,3238512389,120,74200,0.714,C,B-,96.7,2021,2017,May,2017 May,2.73
1488,Los Angeles - Metro,Gardena,Los Angeles,Gardena Royale,,16201 South Figueroa Street,Gardena,CA,90248,33.884187,-118.283133,3107191730,90,52700,1.69,C-,C,96.7,1579,2017,May,2017 May,2.07
1489,Los Angeles - Metro,Gardena,Los Angeles,Fig Tree,,16521 South Figueroa Street,Gardena,CA,90248,33.881006,-118.283091,3105168868,88,57548,1.4,C,C,98.9,1385,2017,May,2017 May,1.8
1490,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Summit, The",Summit,7266 Franklin Avenue,Los Angeles,CA,90046,34.10292,-118.347981,3238745454,90,76760,0.844,B-,B+,100,2256,2017,May,2017 May,2.53
1491,Los Angeles - Metro,Hollywood Hills East,Los Angeles,"Westbury, The",,1765 North Sycamore Avenue,Los Angeles,CA,90028,34.1032328,-118.343942,3238749909,82,55050,0.505,C+,B-,92.7,1885,2017,May,2017 May,2.61
1492,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Portobello,,1791 North Sycamore Avenue,Los Angeles,CA,90028,34.103809,-118.343646,3238500944,60,49440,0.4,B-,B-,100,1537,2017,May,2017 May,1.62
1493,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Jessica, The",,1611 North Formosa Avenue,Los Angeles,CA,90046,34.1001374,-118.3469819,3238501556,61,52742,0.545,B-,B-,98.4,2602,2017,May,2017 May,2.83
1494,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Lanewood Pines,,7027 Lanewood Avenue,Los Angeles,CA,90028,34.0994992,-118.3422447,3234618648,79,67140,0.743,B-,C+,91.1,2495,2017,May,2017 May,2.5
1495,Los Angeles - Metro,Hollywood Hills West,Los Angeles,UrbanLux Sunset Premium,"Vue Hollywood, Alta Vista Gardens",1425 North Alta Vista Blvd,Los Angeles,CA,90046,34.0967656,-118.347596,3109855253,92,88728,0.802,B-,C+,91.3,3014,2017,May,2017 May,2.75
1496,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Marlon Manor,,1538 North Martel Avenue,Los Angeles,CA,90046,34.0990526,-118.3497335,3238509990,69,51843,0.634,C+,B-,91.3,2373,2017,May,2017 May,2.95
1497,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Fuller Martel,"Avana Sunset, Avalon Sunset, Fuller Martel Plaza",1443 North Fuller Avenue,Los Angeles,CA,90046,34.0972605,-118.3500187,3238762097,82,73862,0.792,B-,B-,97.6,2622,2017,May,2017 May,3.12
1498,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Hollywood Vista,,1417 North Vista Street,Los Angeles,CA,90046,34.0964345,-118.3518643,3238742812,54,47700,0.599,B-,B-,100,2353,2017,May,2017 May,2.53
1499,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Sierra Crest Luxury,,1320 North Sierra Bonita Avenue,Los Angeles,CA,90046,34.09506,-118.35366,3238744406,52,38375,0.34,C+,C+,100,2276,2017,May,2017 May,3.23
1500,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Graystone Manor,,1425 North Sierra Bonita Avenue,Los Angeles,CA,90046,34.097135,-118.354133,3238507566,83,82000,0.761,B-,B-,97.6,2269,2017,May,2017 May,2.06
1501,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Enclave,,7917 Selma Avenue,Los Angeles,CA,90046,34.1003892,-118.362249,3236503777,75,65300,1.378,B-,A-,98.7,2560,2017,May,2017 May,2.59
1502,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Sunset Plaza,,1211 Sunset Plaza Drive,Los Angeles,CA,90069,34.092594,-118.380834,3106591211,55,73355,0.964,B,B+,98.2,4584,2017,May,2017 May,3.18
1503,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Pinnacle, The","Pinnacle, Pinnacle Luxury",1860 North Fuller Avenue,Los Angeles,CA,90046,34.1049194,-118.3486166,3238506466,84,75180,0.78,B-,B+,100,2641,2017,May,2017 May,3.02
1504,Los Angeles - Metro,Hollywood Hills West,Los Angeles,La Vista Terrace,,7275 Franklin Avenue,Los Angeles,CA,90046,34.1037635,-118.3484245,3238740707,84,69720,0.691,B,B,75,2382,2017,May,2017 May,2.76
1505,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Las Palmas Villa,,2039 North Las Palmas Avenue,Los Angeles,CA,90068,34.1071968,-118.3365706,3104051320,84,63800,0.807,C+,B,98.8,1872,2017,May,2017 May,2.11
1506,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,Five Star Suites,,2069 Argyle Avenue,Los Angeles,CA,90068,34.1089322,-118.3256772,3234605173,54,48600,0.498,C,B,94.4,2399,2017,May,2017 May,2.44
1507,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,Hollywood Tower,Broadstone Hollywood Tower,6200 Franklin Avenue,Los Angeles,CA,90028,34.10517487,-118.3242915,9498727646,52,44750,1.91,A,B,94.2,3113,2017,May,2017 May,3.31
1508,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,Vue Los Feliz,Los Feliz Club,1800 North New Hampshire Avenue,Los Angeles,CA,90027,34.1034826,-118.2930822,3236613107,134,94010,1.23,C,B,98.5,2313,2017,May,2017 May,2.94
1509,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,"Kenmore Los Feliz, The",Kenmore View,1840 North Kenmore Avenue,Los Angeles,CA,90027,34.104662,-118.2970316,3233006917,75,64700,0.67,C+,B,98.7,2905,2017,May,2017 May,2.4
1510,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,"Tower at Hollywood Hills, The","Normandie Avenue, Sterling",1800 North Normandie Avenue,Los Angeles,CA,90027,34.103686,-118.299959,3236641500,80,53761,0.7,B-,B,92.5,2480,2017,May,2017 May,3.19
1511,Los Angeles - Metro,El Segundo - Playa del Rey,Los Angeles,Club Marina,,12435 West Jefferson Blvd,Los Angeles,CA,90066,33.98107,-118.41031,3105786464,62,39674,0.517,C+,B+,98.4,2155,2017,May,2017 May,3.56
1512,Los Angeles - Metro,Mar Vista,Los Angeles,Terrace Trousdale,,11400 National Blvd,Los Angeles,CA,90064,34.0250217,-118.4334653,3104738193,66,63360,1.14,B-,B-,98.5,3245,2017,May,2017 May,2.67
1513,Los Angeles - Metro,Westwood,Los Angeles,Park Overland,,2600 Overland Avenue,Los Angeles,CA,90064,34.0387349,-118.4220245,3102028302,73,66150,0.623,B-,B+,100,3025,2017,May,2017 May,3.11
1514,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Embassy,,1223 Federal Avenue,Los Angeles,CA,90025,34.049923,-118.458692,3103121223,59,44369,0.448,C+,B+,96.6,2893,2017,May,2017 May,3.15
1515,Los Angeles - Metro,Culver City,Los Angeles,Castle Heights,,3325 Castle Heights Avenue,Los Angeles,CA,90034,34.030639,-118.400525,3108366007,56,44335,0.51,C,B-,98.2,2041,2017,May,2017 May,2.37
1516,Los Angeles - Metro,Culver City,Los Angeles,"Clarington, The",,3767 Clarington Avenue,Los Angeles,CA,90034,34.022809,-118.401485,3102040660,157,119850,1.44,B-,B,96.2,2373,2017,May,2017 May,2.6
1517,Los Angeles - Metro,Culver City,Los Angeles,Hughes Regency,,3665 Hughes Avenue,Los Angeles,CA,90034,34.0257905,-118.4010249,3108412497,58,65300,1.107,C+,B-,93.1,3211,2017,May,2017 May,2.66
1518,Los Angeles - Metro,Culver City,Los Angeles,Hughes Towers,,3520 Hughes Avenue,Los Angeles,CA,90034,34.0286383,-118.4025336,3108360308,63,51900,0.71,C+,B-,98.4,2468,2017,May,2017 May,2.99
1519,Los Angeles - Metro,Culver City,Los Angeles,3333 Motor Avenue,,3333 Motor Avenue,Los Angeles,CA,90034,34.0284555,-118.4104492,3108381828,50,36650,0.583,C+,C+,64,2211,2017,May,2017 May,1.99
1520,Los Angeles - Metro,Westwood,Los Angeles,"Plaza at Westwood, The",,10983 Wellworth Avenue,Los Angeles,CA,90024,34.0564919,-118.44575,3104796205,112,115300,1.09,B-,A-,NA,3971,2017,May,2017 May,3.64
1521,Los Angeles - Metro,Westwood,Los Angeles,Rochester,,10959 Rochester Avenue,Los Angeles,CA,90024,34.055921,-118.4443914,3103129082,60,48700,0.43,B-,A-,100,3119,2017,May,2017 May,3.95
1522,Los Angeles - Metro,Westwood,Los Angeles,Wilshire Villa,,10811 Ashton Avenue,Los Angeles,CA,90024,34.05894,-118.439865,3104701513,64,89600,0.624,C+,B+,87.5,3093,2017,May,2017 May,2.16
1523,Los Angeles - Metro,West Hollywood,Los Angeles,Versailles,,8811 Burton Way,Los Angeles,CA,90048,34.072617,-118.384324,3102859644,78,68600,0.622,B,A,97.4,2993,2017,May,2017 May,3.19
1524,Los Angeles - Metro,West Hollywood,Los Angeles,Burton Way,Deauville,8665 Burton Way,Los Angeles,CA,90048,34.0725171,-118.3810311,3102764584,78,75447,0.65,B-,A,92.3,3517,2017,May,2017 May,3.56
1525,Los Angeles - Metro,Westwood,Los Angeles,"Legacy at Westwood, The",,10833 Wilshire Blvd,Los Angeles,CA,90024,34.0599004,-118.4411481,3104746336,187,229597,1.877,A,A-,94.1,5342,2017,May,2017 May,3.68
1526,Los Angeles - Metro,Bel Air,Los Angeles,Westwood Executive House,,424 Kelton Avenue,Los Angeles,CA,90024,34.0697509,-118.453508,3108242210,74,81660,0.68,C+,B+,100,3811,2017,May,2017 May,2.92
1527,Los Angeles - Metro,Bel Air,Los Angeles,Atrium Court,,10965 Strathmore Drive,Los Angeles,CA,90024,34.0662809,-118.450366,3108248883,58,49500,0.621,B-,B+,NA,4104,2017,May,2017 May,4.55
1528,Los Angeles - Metro,Bel Air,Los Angeles,Veteran Plaza,,512 Veteran Avenue,Los Angeles,CA,90024,34.0677569,-118.4544001,3102082655,64,70400,0.576,C+,B+,98.4,3727,2017,May,2017 May,3.06
1529,Los Angeles - Metro,Bel Air,Los Angeles,Diamond Head,,660 Veteran Avenue,Los Angeles,CA,90024,34.0650027,-118.4535898,3102082251,72,59950,0.66,C,B+,100,2137,2017,May,2017 May,2.33
1530,Los Angeles - Metro,Bel Air,Los Angeles,655 Kelton,,655 Kelton Avenue,Los Angeles,CA,90024,34.0651818,-118.4531287,3108242563,72,51000,0.704,C,B+,100,2040,2017,May,2017 May,2.44
1531,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Joshua, The",,1353 North Martel Avenue,Los Angeles,CA,90046,34.0963163,-118.3510459,3238514141,87,73800,0.479,C+,C+,96.6,2493,2017,June,2017 June,2.3
1532,Los Angeles - Metro,Beach Cities,Los Angeles,Manhattan Senior Villas,,1300 Parkview Avenue,Manhattan Beach,CA,90266,33.89889,-118.39227,3105464062,104,68640,2.46,C+,A,100,1300,2017,June,2017 June,1.92
1533,Los Angeles - Metro,Beach Cities,Los Angeles,Elements 616,"Novella Redondo, Avalon Redondo",616 Esplanade Street,Redondo Beach,CA,90277,33.83239,-118.38912,3105430315,105,85130,1.184,B+,A,94.3,3332,2017,June,2017 June,3.35
1534,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Riva,,1410 5th Street,Santa Monica,CA,90401,34.016898,-118.494229,4246250270,163,131355,1.2,A-,B+,92.6,3912,2017,June,2017 June,4.91
1535,Los Angeles - Metro,Hawthorne,Los Angeles,Royal Oaks,,13601 Kornblum Avenue,Hawthorne,CA,90250,33.90817,-118.33781,3103550877,57,41655,1.18,C,C,100,1549,2017,June,2017 June,1.86
1536,Los Angeles - Metro,East Torrance,Los Angeles,Harbor Cove,,945 Carson Street,Torrance,CA,90502,33.83299,-118.29195,3102126566,102,98940,2.223,B,C,100,1764,2017,June,2017 June,1.75
1537,Los Angeles - Metro,East Torrance,Los Angeles,Gateway Court,,1306 Carson Street,Torrance,CA,90501,33.83115,-118.299895,3107828338,77,46920,0.763,C,B-,96.1,1698,2017,June,2017 June,2.2
1538,Los Angeles - Metro,East Hollywood,Los Angeles,Mariposa Gardens,,533 North Mariposa Avenue,Los Angeles,CA,90004,34.0800163,-118.2996839,3236629956,71,47176,1.3,B-,B-,84.5,1931,2017,June,2017 June,2.79
1539,Los Angeles - Metro,Mid Wilshire West,Los Angeles,Council,,4205 Council Street,Los Angeles,CA,90004,34.0755862,-118.3011374,2133826324,54,41555,0.5,C,C+,98.1,1832,2017,June,2017 June,1.99
1540,Los Angeles - Metro,East Hollywood,Los Angeles,Vivian,,637 North Bronson Avenue,Los Angeles,CA,90004,34.0827156,-118.3180829,3239621890,50,25200,0.33,C-,B-,90,1818,2017,June,2017 June,3.26
1541,Los Angeles - Metro,Mid Wilshire East,Los Angeles,Virgil View,,171 South Virgil Avenue,Los Angeles,CA,90004,34.071465,-118.287085,2134944841,54,40300,0.49,C+,B-,98.1,1636,2017,June,2017 June,2.31
1542,Los Angeles - Metro,Hawthorne,Los Angeles,Catalina Terrace,Anastasi Construction Co Inc,13725 Chadron Avenue,Hawthorne,CA,90250,33.90628,-118.32921,3109734526,73,55584,1.356,C,C,100,1648,2017,June,2017 June,1.55
1543,Los Angeles - Metro,San Pedro,Los Angeles,Portofino Townhomes,"Portofino Del Homes, Summerwind Townhomes",1625 West Pacific Coast Hwy,Wilmington,CA,90744,33.792349,-118.286189,3108343945,200,248061,11.88,B,B-,94.5,3120,2017,June,2017 June,1.93
1544,Los Angeles - Metro,Hawthorne,Los Angeles,Chadron,,13622 Chadron Avenue,Hawthorne,CA,90250,33.9075229,-118.3280001,3106442151,60,55200,1.37,C,C,100,2379,2017,June,2017 June,2.1
1545,Los Angeles - Metro,East Hollywood,Los Angeles,Madison Hancock Park,Rossmore Plaza,627 North Rossmore Avenue,Los Angeles,CA,90004,34.0826233,-118.3271386,3234613133,60,50186,0.52,B,A-,93.3,2916,2017,June,2017 June,3.22
1546,Los Angeles - Metro,Hawthorne,Los Angeles,Oaktree,,13710 Chadron Avenue,Hawthorne,CA,90250,33.906842,-118.328071,3109781458,50,25300,0.896,C+,C,98,1479,2017,June,2017 June,2.36
1547,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Sunset Barrington Gardens,,233 South Barrington Avenue,Los Angeles,CA,90049,34.0635708,-118.4693396,3104722750,183,153252,3.77,C,A-,95.6,2826,2017,June,2017 June,3.12
1548,Los Angeles - Metro,Hawthorne,Los Angeles,Pacific West,Pacific Isle,13930 Chadron Avenue,Hawthorne,CA,90250,33.90467,-118.32833,3109892959,60,32550,1.06,C,C,95,1682,2017,June,2017 June,2.37
1549,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Regency Detroit,,1530 North Detroit Street,Los Angeles,CA,90046,34.09899,-118.34532,3238769514,60,39400,0.53,B,B-,98.3,2246,2017,June,2017 June,2.91
1550,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Promenade Towers,,123 South Figueroa Street,Los Angeles,CA,90012,34.0573887,-118.2528354,2136173777,611,498983,4.32,C+,B,96.9,2105,2017,June,2017 June,2.45
1551,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Met, The","Metropolitan, The",950 South Flower Street,Los Angeles,CA,90015,34.0448125,-118.2620685,2134080830,270,206764,1.67,B,B,95.9,2522,2017,June,2017 June,3.31
1552,Los Angeles - Metro,East Hollywood,Los Angeles,June,,1250 North June Street,Los Angeles,CA,90038,34.094036,-118.333924,3234646069,52,32748,0.35,C,C+,96.2,2182,2017,June,2017 June,2.84
1553,Los Angeles - Metro,Hollywood Hills West,Los Angeles,La Brea,,1335 North La Brea Avenue,Los Angeles,CA,90028,34.0955185,-118.3443993,3238765575,61,49200,0.5,B-,C+,96.7,1968,2017,June,2017 June,2.2
1554,Los Angeles - Metro,Mar Vista,Los Angeles,Aqua at Marina del Rey,"Aqua, Archstone Marina Terrace / Marina Terrace",4750 Lincoln Blvd,Marina Del Rey,CA,90292,33.9799151,-118.4366814,3108273992,500,470790,5.81,A,A,97.4,3171,2017,June,2017 June,3.12
1555,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,1250 Long Beach,,1250 Long Beach Avenue,Los Angeles,CA,90021,34.0264215,-118.2409242,2136295539,113,161250,1.66,C+,C-,92,3177,2017,June,2017 June,2.01
1556,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,Whitley House,El Padre,1963 North Cahuenga Blvd,Los Angeles,CA,90068,34.10687,-118.330915,3234656036,110,44925,0.62,C,B+,100,1199,2017,June,2017 June,2.56
1557,Los Angeles - Metro,Mar Vista,Los Angeles,Westside,Archstone Westside,3165 Sawtelle Blvd,Los Angeles,CA,90066,34.0240116,-118.4301633,3103132100,204,187466,3.48,B+,B-,94.6,3147,2017,June,2017 June,3.2
1558,Los Angeles - Metro,Marina Del Rey,Los Angeles,Mirabella,,13701 Marina Pointe Drive,Marina Del Rey,CA,90292,33.9851268,-118.4466639,3108220255,188,206070,2.51,A,A,96.8,3695,2017,June,2017 June,2.99
1559,Los Angeles - Metro,Marina Del Rey,Los Angeles,"Westerly on Lincoln, The",Marina Pointe,13603 Marina Pointe Drive,Marina Del Rey,CA,90292,33.9857116,-118.4447735,3108226807,583,513070,5.56,B+,A,94.3,2963,2017,June,2017 June,3.16
1560,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Brentwood Park,McClellan Plaza,1245 McClellan Drive,Los Angeles,CA,90025,34.0410221,-118.4697517,3102071967,63,75600,1.2,B,B,100,2741,2017,June,2017 June,2.41
1561,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Renaissance Tower,,501 West Olympic Blvd,Los Angeles,CA,90015,34.0434707,-118.2609439,2136295501,205,148707,1.08,B+,B+,95.6,2340,2017,June,2017 June,3.2
1562,Los Angeles - Metro,Bel Air,Los Angeles,Westwood Concord,,424 Veteran Avenue,Los Angeles,CA,90024,34.06945,-118.45451,3108241640,62,68800,0.53,C,B+,80.6,2980,2017,June,2017 June,2.58
1563,Los Angeles - Metro,Mid Wilshire West,Los Angeles,San Marcos,,242 North Western Avenue,Los Angeles,CA,90029,34.075979,-118.308972,3234692785,76,41940,2,C+,C+,96.1,1380,2017,June,2017 June,1.66
1564,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Spring Arcade, The",Mercantile Arcade Building,541 South Spring Street,Los Angeles,CA,90013,34.0466319,-118.2507265,2132399121,143,126436,5.06,B+,B-,99.3,2293,2017,June,2017 June,2.38
1565,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,PE Lofts,Pacific Electric Lofts,610 South Main Street,Los Angeles,CA,90014,34.044069,-118.2491974,2134896631,314,279215,1.43,A,B-,98.7,2223,2017,June,2017 June,2.95
1566,Los Angeles - Metro,Westlake North,Los Angeles,Belmont Station,Northwest Gateway,1304 West 2nd Street,Los Angeles,CA,90026,34.0611118,-118.2591665,2132509771,275,220540,2.41,A-,C,97.1,2432,2017,June,2017 June,2.75
1567,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Avalon Santa Monica on Main,"Archstone Santa Monica on Main Street, 2000Main Street",2000 Main Street,Santa Monica,CA,90405,34.0065987,-118.4887867,3103922635,133,122377,1.54,A-,A,97,4581,2017,June,2017 June,4.68
1568,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Living at Santa Monica - Biella,Santa Monica Collection - Biella,1411 7th Street,Santa Monica,CA,90401,34.0185493,-118.4916801,3103933500,59,37815,0.34,B+,B,91.5,3042,2017,June,2017 June,4.55
1569,Los Angeles - Metro,Hawthorne,Los Angeles,Monterey Terrace,,13522 Chadron Avenue,Hawthorne,CA,90250,33.90854,-118.32789,3102631605,59,43650,1.18,C+,C,100,1643,2017,June,2017 June,1.59
1570,Los Angeles - Metro,Beach Cities,Los Angeles,Heritage Pointe,,1801 Aviation Way,Redondo Beach,CA,90278,33.8712743,-118.380737,3103188418,141,84536,2.5,C,C,NA,2225,2017,June,2017 June,3.65
1571,Los Angeles - Metro,Hawthorne,Los Angeles,14102 Lemoli Avenue,,14102 Lemoli Avenue,Hawthorne,CA,90250,33.90321,-118.330263,3106763525,52,37515,0.84,C,C,98.1,1485,2017,June,2017 June,1.57
1572,Los Angeles - Metro,Central Hollywood,Los Angeles,Palazzo West at the Grove,Palazzo at Park La Brea,6220 West 3rd Street,Los Angeles,CA,90036,34.070332,-118.355783,3239392627,521,569868,6.41,A+,A,98.5,4237,2017,June,2017 June,3.07
1573,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Gas Company Lofts,"Gas Company Lofts, The, South Village",810 South Flower Street,Los Angeles,CA,90017,34.0467371,-118.2603862,2139555700,251,219416,7.2,B-,B,96.8,2352,2017,June,2017 June,2.73
1574,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Pegasus,,612 South Flower Street,Los Angeles,CA,90017,34.04943,-118.25749,2134309112,322,233443,1.04,A-,B-,98.4,2628,2017,June,2017 June,3.29
1575,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Santa Fe Lofts,,121 East 6th Street,Los Angeles,CA,90014,34.0450583,-118.2491528,2136249090,132,118566,0.69,C+,B-,91.7,2285,2017,June,2017 June,2.41
1576,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Metro 417,Subway Terminal Building,417 South Hill Street,Los Angeles,CA,90013,34.0500845,-118.2511794,2136200095,277,212481,1.67,B+,B+,89.5,2691,2017,June,2017 June,3.36
1577,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Met Lofts,Metropolitan Lofts,1050 South Flower Street,Los Angeles,CA,90015,34.0430523,-118.2637281,2137471877,266,239787,1.78,A,B+,92.1,2950,2017,June,2017 June,2.88
1578,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Lofts at the Security Building,"Security Building Lofts, The",510 South Spring Street,Los Angeles,CA,90013,34.04730261,-118.2496481,2136246022,153,102539,0.44,B,B-,89.5,2052,2017,June,2017 June,3.13
1579,Los Angeles - Metro,Westlake North,Los Angeles,Piero,,616 South St. Paul Avenue,Los Angeles,CA,90017,34.052581,-118.260988,2132508080,560,415224,3.96,A-,B-,95.5,2472,2017,June,2017 June,3.1
1580,Los Angeles - Metro,Westlake North,Los Angeles,Visconti,,1221 West 3rd Street,Los Angeles,CA,90026,34.0573402,-118.2586897,2139770972,297,283781,2.5,A,C+,93.6,2785,2017,June,2017 June,2.62
1581,Los Angeles - Metro,Westlake South,Los Angeles,"Medici, The",Medici,725 South Bixel Street,Los Angeles,CA,90017,34.05026,-118.2649271,2136273901,632,499612,5.49,A+,B,95.4,2695,2017,June,2017 June,2.95
1582,Los Angeles - Metro,Chinatown,Los Angeles,Orsini,,505 North Figueroa Street,Los Angeles,CA,90012,34.0621277,-118.2469188,2133469980,1072,892993,9.04,A,B,93.7,2571,2017,June,2017 June,2.78
1583,Los Angeles - Metro,Koreatown,Los Angeles,Park Catalina,,690 South Catalina Street,Los Angeles,CA,90005,34.0601558,-118.2951753,2133839939,90,73762,0.75,B+,B-,95.6,2509,2017,June,2017 June,2.83
1584,Los Angeles - Metro,Westwood,Los Angeles,2820 Sawtelle Blvd,,2820 South Sawtelle Blvd,Los Angeles,CA,90064,34.02803,-118.43196,3104770953,66,59254,0.41,B-,B-,100,2635,2017,June,2017 June,3.15
1585,Los Angeles - Metro,Mar Vista,Los Angeles,Belle Fontaine,Alexan Fontaine,4077 Glencoe Avenue,Marina Del Rey,CA,90292,33.99011,-118.44336,3108276677,102,98638,1.82,A,A-,100,3367,2017,June,2017 June,2.99
1586,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,AO Santa Monica,"Plaza at the Arboretum, The",2200 Colorado Avenue,Santa Monica,CA,90404,34.0271351,-118.475031,3105860709,350,326317,3.6,A,B+,90.6,4110,2017,June,2017 June,3.89
1587,Los Angeles - Metro,Central Hollywood,Los Angeles,Villas at Park La Brea,,5555 West 6th Street,Los Angeles,CA,90036,34.0653947,-118.3487215,3235251778,250,234542,3.59,A,B,97.2,3570,2017,June,2017 June,3.26
1588,Los Angeles - Metro,Marina Del Rey,Los Angeles,Saint Tropez,,13924 Panay Way,Marina Del Rey,CA,90292,33.9788588,-118.452793,3102200147,68,78898,0.91,B-,A+,100,3537,2017,June,2017 June,2.95
1589,Los Angeles - Metro,West Hollywood,Los Angeles,Beverly Arnaz,"IMT Beverly Arnaz, Beverly Arnaz",467 Arnaz Drive,Los Angeles,CA,90048,34.070199,-118.383011,3102713147,100,105159,1.12,B+,A,95,3044,2017,June,2017 June,2.97
1590,Los Angeles - Metro,Mid Wilshire East,Los Angeles,Plaza Lafayette,,401 South Lafayette Park Place,Los Angeles,CA,90057,34.0658899,-118.2823452,2133888808,56,51200,0.5,C+,B-,91.1,2591,2017,June,2017 June,2.58
1591,Los Angeles - Metro,West Hollywood,Los Angeles,Parklane,,412 South Willaman Drive,Los Angeles,CA,90048,34.0715587,-118.3800525,3102711354,52,50150,0.418,B,A,98.1,2408,2017,June,2017 June,2.38
1592,Los Angeles - Metro,Marina Del Rey,Los Angeles,Waves MDR,Tahiti Marina,13900 Tahiti Way,Marina Del Rey,CA,90292,33.9740198,-118.4515469,3108234504,149,178369,4.89,B,A+,94,5148,2017,June,2017 June,3.28
1593,Los Angeles - Metro,Marina Del Rey,Los Angeles,Esprit Marina Del Rey,,13900 Marquesas Way,Marina Del Rey,CA,90292,33.97654,-118.45132,3103053700,437,517392,91.03,A+,A,96.6,4356,2017,June,2017 June,3.61
1594,Los Angeles - Metro,El Segundo - Playa del Rey,Los Angeles,Avalon Playa Vista,Avalon del Rey,5535 Westlawn Avenue,Los Angeles,CA,90066,33.9801662,-118.4149805,3103063900,309,284648,4.5,A-,B+,98.4,3594,2017,June,2017 June,2.99
1595,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Hikari,Little Tokyo,375 East 2nd Street,Los Angeles,CA,90012,34.0481035,-118.2396629,2136258500,128,94215,0.98,A,B,99.2,2460,2017,June,2017 June,3.12
1596,Los Angeles - Metro,Marina Del Rey,Los Angeles,Jefferson at Marina Del Rey,"Alexan Marina, Alexan Marina Del Rey",3221 Carter Avenue,Marina Del Rey,CA,90292,33.9872859,-118.4458998,3108228600,298,352181,5.82,A,A,96.6,3808,2017,June,2017 June,2.77
1597,Los Angeles - Metro,Westwood,Los Angeles,"Mission, The",,1350 Midvale Avenue,Los Angeles,CA,90024,34.0556152,-118.442932,3108640319,80,78160,0.76,B+,A-,98.8,3674,2017,June,2017 June,3.48
